Program,Year,Proxy Course,Estimated Cohort
CS,Y1,CSC111H1,381
CS,Y2,CSC258H1,675
CS,Y3/4,CSC369H1,497
Math,Y1,MAT247H1,193
Math,Y2,MAT257Y1,131
Math,Y3,MAT347Y1,84
Math,Y4,MAT477H1,32
Stats,Y1,1.2x STA261 Y2,344
Stats,Y2,STA261H1,287
Stats,Y3/4,STA355H1,99
DS,Y1,1.2x JSC270 Y2,54
DS,Y2,JSC270H1,45
DS,Y3/4,JSC370H1,35
Physics,Y1,1.2x PHY252 Y2,418
Physics,Y2,PHY252H1,348
Physics,Y3,PHY350H1,153
EngSci,Y1,ESC101H1,253
EngSci,Y2,ESC203H1,208
CogSci,Y1,1.2x COG250 Y2,287
CogSci,Y2,COG250Y1,239
CogSci,Y3,0.8x COG250 Y2,191
Econ,Y1,1.2x ECO206 Y2,248
Econ,Y2,ECO206Y1,207
Econ,Y3,ECO325H1,110
